# Deterministic simulation 1 of scenario 'exp'
# Generated on: October 15, 2023, 16:37 (Pacific/Auckland)
# Random seed for this model: 1234
age	LTT	nLTT	Pmissing	lambda	mu	psi	PDR	IPDR	PSR	Reff	removal_rate	sampling_proportion	diversification_rate	lambda_psi
7.49726659631954	31.8679895931748	0.00686444709154827	0.646820450610231	3.56022261371084	2.20397371043038	0.0426197202170327	1.31607455999713	6.03739616246007	1.25739781843766	1.58472047729832	2.24659343064741	0.0189708202808867	1.31362918306344	0.151735691706709
7.50661480903316	31.5308022806301	0.00679181607539531	0.646234930527997	3.56030400005709	2.20116025630023	0.0426214200430997	1.31896764474763	6.04971262997972	1.25951119192165	1.58674261297083	2.24378167634333	0.0189953507921321	1.31652232371376	0.151745212267561
7.51596302174677	31.1965087399566	0.00671980838516149	0.645646510858892	3.56038538640334	2.19834680217009	0.0426231198691666	1.32186072950071	6.06205614267103	1.26163498435903	1.58876982300746	2.24096992203925	0.0190199428604469	1.31941546436408	0.151754733105099
7.52531123446039	30.8650882058589	0.00664841954794869	0.645055231559943	3.56046677274958	2.19553334803994	0.0426248196952336	1.32475381425635	6.07442670053402	1.26376905419212	1.59080212653267	2.23815816773518	0.0190445967178299	1.32230860501441	0.151764254219321
7.534659447174	30.5365221907539	0.00657764558148385	0.644461108408177	3.56054815909583	2.1927198939098	0.0426265195213005	1.32764689901453	6.08682430356872	1.26591334594424	1.59283954276717	2.2353464134311	0.0190693125974474	1.32520174566473	0.151773775610229
7.54400765988762	30.2107915335767	0.00650748235842422	0.64386416623801	3.56062954544208	2.18990643977965	0.0426282193473675	1.33053998377528	6.09924895177515	1.26806777188359	1.59488209102849	2.23253465912702	0.01909409073364	1.32809488631505	0.151783297277822
7.55335587260124	29.8878767703398	0.00643792568617671	0.643264435072264	3.56071093178832	2.18709298564951	0.0426299191734344	1.33343306853856	6.11170064515333	1.27023222579587	1.59692979073158	2.22972290482294	0.0191189313619306	1.33098802696538	0.151792819222101
7.56270408531485	29.5677602280345	0.0063689717579297	0.642661925117602	3.56079231813457	2.18427953151937	0.0426316189995014	1.33632615330443	6.12417938370329	1.27240667201824	1.59898266138948	2.22691115051887	0.0191438347190315	1.3338811676157	0.151802341443064
7.57205229802847	29.2504220551297	0.00630061629761225	0.642056674064796	3.56087370448081	2.18146607738922	0.0426333188255683	1.33921923807282	6.13668516742505	1.27459097701707	1.60104072261388	2.22409939621479	0.0191688010428519	1.33677430826602	0.151811863940713
7.58140051074208	28.9358444738933	0.00623285547585501	0.6414486940166	3.56095500948374	2.17864560158849	0.0426350176259873	1.34210576466268	6.14921797934837	1.27678506919852	1.60310902579387	2.22128061921448	0.0191938907930797	1.33967439026926	0.151821379594687
7.5907487234557	28.6240088622047	0.00616568528140522	0.64083792410364	3.56103578782774	2.1757796638423	0.0426367097858281	1.34501705923806	6.16177793575908	1.27898900589744	1.60521524730897	2.21841637362813	0.0192194352208542	1.34261941419961	0.151830849422559
7.60009693616931	28.3148963746415	0.00609910165491036	0.640224150937029	3.56111560380073	2.172830652866	0.0426383898112501	1.34804415242304	6.17436559028778	1.2812033899688	1.6073867588316	2.21546904267725	0.0192457619537416	1.34564656112349	0.151840235277781
7.60944514888293	28.0084895262068	0.006033100830057	0.639607268632763	3.56119541977373	2.16988164188969	0.0426400698366722	1.35107124561045	6.18698154272748	1.28342894426475	1.60956405575565	2.21252171172636	0.0192721588270433	1.34867370804736	0.151849621401189
7.61879336159654	27.7047686965053	0.00596767858056142	0.638987318290789	3.56127523574672	2.16693263091339	0.0426417498620942	1.35409833880026	6.19962579307822	1.28566552316152	1.6117471612324	2.20957438077548	0.0192986261214382	1.35170085497124	0.151859007792782
7.62814157431016	27.4037164274745	0.00590283114591196	0.638364314950658	3.56135505171971	2.16398361993708	0.0426434298875163	1.35712543199248	6.21229834134	1.28791307383259	1.61393609853681	2.2066270498246	0.0193251641191047	1.35472800189511	0.151868394452561
7.63748978702377	27.1053141464392	0.00583855452550657	0.637738289678621	3.5614348676927	2.16103460896078	0.0426451099129384	1.36015252518709	6.22499918751287	1.29017148636855	1.61613089106838	2.20367971887372	0.0193517731037312	1.35775514881898	0.151877781380526
7.64683799973739	26.8095436290388	0.00577484479377093	0.637109270778897	3.56151468366569	2.15808559798447	0.0426467899383604	1.36317961838414	6.23772833159683	1.29244066068711	1.61833156235195	2.20073238792283	0.0193784533605254	1.36078229574286	0.151887168576677
7.65618621245101	26.5163877304735	0.00571169825767104	0.63647727355867	3.56159449963869	2.15513658700817	0.0426484699637825	1.36620671158357	6.25048577359192	1.2947205429871	1.62053813603854	2.19778505697195	0.0194052051762252	1.36380944266673	0.151896556041013
7.66553442516462	26.22582770915	0.00564911088021935	0.635842336626561	3.56167431561168	2.15218757603186	0.0426501499892045	1.36923380478543	6.26327151349815	1.29701099647034	1.62275063590623	2.19483772602107	0.0194320288391084	1.36683658959061	0.151905943773535
7.67488263787824	25.9378467040862	0.00558707902951689	0.635204474474183	3.56175413158467	2.14923856505556	0.0426518300146266	1.37226089798969	6.27608555131554	1.29931197022518	1.62496908586098	2.19189039507019	0.0194589246390036	1.36986373651448	0.151915331774243
7.68423085059185	25.6524267954933	0.00552559884559496	0.63456371775104	3.56183394755766	2.14628955407925	0.0426535100400487	1.37528799119635	6.28892788704412	1.30162335578361	1.62719350993751	2.1889430641193	0.0194858928673002	1.37289088343836	0.151924720043137
7.69357906330547	25.3695507217074	0.00546466661024668	0.63391997005737	3.56191273866752	2.14324598848875	0.0426551770423393	1.37836739047258	6.30179855929662	1.30394512202444	1.6294939564672	2.18590116553109	0.0195137720382594	1.37601157313643	0.151934018477227
7.70292727601908	25.0892009583343	0.00540427854867235	0.633272949970451	3.56199106351129	2.14015940485176	0.0426568381196977	1.38152557171158	6.31469856807798	1.30627847495311	1.63183276420115	2.18281624297146	0.0195421113696813	1.37917482053983	0.151943276180011
7.7122754887327	24.8113599839244	0.00534443088670656	0.632622634519145	3.56206933941184	2.13706830567755	0.0426584985751253	1.38469323467352	6.32762816898522	1.30862364957325	1.6341815554418	2.17972680425268	0.0195705711797909	1.38234253515916	0.151952529839797
