# IPDR over age (year) (linear.sim_1_kappa_0_c1)
# Age-integrated pulled diversification rate (IPDR) of model 'linear.sim_1_kappa_0_c1'
#
# linear.sim_1_kappa_0_c1
age	IPDR
0	0
0.00686569587829202	0.00681083863496745
0.013731391756584	0.0136263910479246
0.0205970876348761	0.0204466572388706
0.0274627835131681	0.0272716372078063
0.0343284793914601	0.0341013309547309
0.0411941752697521	0.0409357384796452
0.0480598711480441	0.0477748597825487
0.0549255670263362	0.0546186948634415
0.0617912629046282	0.0614672437223236
0.0686569587829202	0.068320506359195
0.0755226546612122	0.075178482774056
0.0823883505395042	0.0820411729669059
0.0892540464177962	0.0889085769377456
0.0961197422960883	0.095780694686574
0.10298543817438	0.102657526213392
0.109851134052672	0.1095390715182
0.116716829930964	0.116425330600996
0.123582525809256	0.123316303461782
0.130448221687548	0.130211990100558
0.13731391756584	0.137112390517322
0.144179613444132	0.144017504712076
0.151045309322424	0.15092733268482
0.157911005200716	0.157841874435552
0.164776701079008	0.164761129964274
0.1716423969573	0.171685099270985
0.178508092835592	0.178613782355686
0.185373788713885	0.185547179218376
0.192239484592177	0.192485289859055
0.199105180470469	0.199428114277723
0.205970876348761	0.206375652474382
0.212836572227053	0.213327904449029
0.219702268105345	0.220284870201665
0.226567963983637	0.227246549732291
0.233433659861929	0.234212943040906
0.240299355740221	0.241184050127511
0.247165051618513	0.248159870992104
0.254030747496805	0.255140405634688
0.260896443375097	0.26212565405526
0.267762139253389	0.269115616253822
0.274627835131681	0.276110292230373
0.281493531009973	0.283109681984913
0.288359226888265	0.290113785517442
0.295224922766557	0.297122602827962
0.302090618644849	0.30413613391647
0.308956314523141	0.311154378782968
0.315822010401433	0.318177337427455
0.322687706279725	0.325205009849931
0.329553402158017	0.332237396050397
0.336419098036309	0.339274496028851
0.343284793914601	0.346316309785295
0.350150489792893	0.353362837319729
0.357016185671185	0.360414078632152
0.363881881549477	0.367470033722564
0.370747577427769	0.374530702590966
0.377613273306061	0.381596085237357
0.384478969184353	0.388666181661737
0.391344665062645	0.395740991864106
0.398210360940937	0.402820515844465
0.405076056819229	0.409904753602813
0.411941752697521	0.416993705139151
0.418807448575813	0.424087370453477
0.425673144454105	0.431185749545794
0.432538840332397	0.438288842416099
0.439404536210689	0.445396649064393
0.446270232088981	0.452509169490678
0.453135927967273	0.459626403694951
0.460001623845565	0.466748351677214
0.466867319723857	0.473875013437466
0.473733015602149	0.481006388975707
0.480598711480441	0.488142478291937
0.487464407358733	0.495283281386158
0.494330103237025	0.502428798258367
0.501195799115317	0.509579028908565
0.508061494993609	0.516733973336753
0.514927190871901	0.523893631542931
0.521792886750193	0.531058003527097
0.528658582628485	0.538227089289252
0.535524278506777	0.545400888829398
0.54238997438507	0.552579402147532
0.549255670263362	0.559762629243656
0.556121366141654	0.566950570117769
0.562987062019946	0.574143224769871
0.569852757898238	0.581340593199963
0.57671845377653	0.588542675408045
0.583584149654822	0.595749471394115
0.590449845533114	0.602960981158175
0.597315541411406	0.610177204700224
0.604181237289698	0.617398142020262
0.61104693316799	0.62462379311829
0.617912629046282	0.631854157994307
0.624778324924574	0.639089236648313
0.631644020802866	0.646329029080309
0.638509716681158	0.653573535290294
0.64537541255945	0.660822755278268
0.652241108437742	0.668076689044232
0.659106804316034	0.675335336588184
0.665972500194326	0.682598697910127
0.672838196072618	0.689866773010058
0.67970389195091	0.697139561887979
0.686569587829202	0.704417064543889
0.693435283707494	0.711699280977789
0.700300979585786	0.718986211189678
0.707166675464078	0.726277855179556
0.71403237134237	0.733574212947424
0.720898067220662	0.74087528449328
0.727763763098954	0.748181069817127
0.734629458977246	0.755491568918962
0.741495154855538	0.762806781798786
0.74836085073383	0.770126708456601
0.755226546612122	0.777451348892404
0.762092242490414	0.784780703106197
0.768957938368706	0.792114771097979
0.775823634246998	0.79945355286775
0.78268933012529	0.806797048415511
0.789555026003582	0.814145257741261
0.796420721881874	0.821498180845
0.803286417760166	0.828855817726729
0.810152113638458	0.836218168386447
0.81701780951675	0.843585232824154
0.823883505395042	0.850957011039851
0.830749201273334	0.858333503033537
0.837614897151626	0.865714708805212
0.844480593029918	0.873100628354876
0.85134628890821	0.88049126168253
0.858211984786502	0.887886608788173
0.865077680664794	0.895286669671806
0.871943376543086	0.902691444333428
0.878809072421378	0.910100932773039
0.88567476829967	0.917515134990639
0.892540464177962	0.924934050986229
0.899406160056255	0.932357680759809
0.906271855934547	0.939786024311377
0.913137551812839	0.947219081640934
0.920003247691131	0.954656852748482
0.926868943569423	0.962099337634018
0.933734639447715	0.969546536297544
0.940600335326007	0.976998448739059
0.947466031204299	0.984455074958563
0.954331727082591	0.991916414956057
0.961197422960883	0.99938246873154
0.968063118839175	1.00685323628501
0.974928814717467	1.01432871761647
0.981794510595759	1.02180891272592
0.988660206474051	1.02929382161336
0.995525902352343	1.03678344427879
1.00239159823063	1.04427778072221
1.00925729410893	1.05177683094362
1.01612298998722	1.05928059494302
1.02298868586551	1.06678907272041
1.0298543817438	1.07430226427578
1.03672007762209	1.08182016960915
1.04358577350039	1.0893427887205
1.05045146937868	1.09687012160985
1.05731716525697	1.10440216827718
1.06418286113526	1.1119389287225
1.07104855701355	1.11948040294581
1.07791425289185	1.12702659094712
1.08477994877014	1.13457749272641
1.09164564464843	1.14213310828369
1.09851134052672	1.14969343761896
1.10537703640502	1.15725848073221
1.11224273228331	1.16482823762346
1.1191084281616	1.1724027082927
1.12597412403989	1.17998189273993
1.13283981991818	1.18756579096514
1.13970551579648	1.19515440296835
1.14657121167477	1.20274772874954
