# removal rate (1/year) over age (year) (exp.sim_5_kappa_0_c1)
# Removal rate (mu+psi) of model 'exp.sim_5_kappa_0_c1'
#
# exp.sim_5_kappa_0_c1
age	removal_rate
0	9.10284035934809
0.00996193505006134	9.10253925255689
0.0199238701001227	9.10223814576569
0.029885805150184	9.10193703897449
0.0398477402002454	9.10163593218329
0.0498096752503067	9.10133482539208
0.059771610300368	9.10103371860088
0.0697335453504294	9.10073261180968
0.0796954804004907	9.10043150501848
0.089657415450552	9.10013039822728
0.0996193505006134	9.09982929143608
0.109581285550675	9.09951578630062
0.119543220600736	9.09920041895163
0.129505155650797	9.09888498244927
0.139467090700859	9.0985695459469
0.14942902575092	9.09825410944454
0.159390960800981	9.09793867294218
0.169352895851043	9.09762323643981
0.179314830901104	9.09730779993745
0.189276765951165	9.09699236343508
0.199238701001227	9.09667692693272
0.209200636051288	9.09635039362313
0.219162571101349	9.09602022207863
0.229124506151411	9.09568977392855
0.239086441201472	9.09535932577847
0.249048376251533	9.09502887762839
0.259010311301595	9.09469842947831
0.268972246351656	9.09436798132823
0.278934181401717	9.09403753317816
0.288896116451779	9.09370708502808
0.29885805150184	9.093376636878
0.308819986551902	9.09303640742938
0.318781921601963	9.09269087487439
0.328743856652024	9.09234470068818
0.338705791702086	9.09199852650197
0.348667726752147	9.09165235231577
0.358629661802208	9.09130617812956
0.36859159685227	9.09096000394335
0.378553531902331	9.09061382975714
0.388515466952392	9.09026765557093
0.398477402002454	9.08992148138472
0.408439337052515	9.08956684719566
0.418401272102576	9.08920538391329
0.428363207152638	9.0888427353064
0.438325142202699	9.0884800866995
0.44828707725276	9.08811743809261
0.458249012302822	9.08775478948571
0.468210947352883	9.08739214087882
0.478172882402944	9.08702949227192
0.488134817453006	9.08666684366503
0.498096752503067	9.08630419505813
0.508058687553128	9.08593440422332
0.51802062260319	9.08555642794027
0.527982557653251	9.08517652091423
0.537944492703312	9.0847966138882
0.547906427753374	9.08441670686217
0.557868362803435	9.08403679983613
0.567830297853496	9.0836568928101
0.577792232903558	9.08327698578407
0.587754167953619	9.08289707875804
0.59771610300368	9.08251717173201
0.607678038053742	9.08213142619815
0.617639973103803	9.08173634250719
0.627601908153864	9.08133835575494
0.637563843203926	9.08094036900268
0.647525778253987	9.08054238225042
0.657487713304048	9.08014439549817
0.66744964835411	9.07974640874591
0.677411583404171	9.07934842199365
0.687373518454232	9.0789504352414
0.697335453504294	9.07855244848914
0.707297388554355	9.07814990102265
0.717259323604416	9.0777371038894
0.727221258654478	9.07732017701981
0.737183193704539	9.07690325015023
0.7471451287546	9.07648632328064
0.757107063804662	9.07606939641106
0.767068998854723	9.07565246954147
0.777030933904784	9.07523554267189
0.786992868954846	9.07481861580231
0.796954804004907	9.07440168893272
0.806916739054968	9.073981439887
0.81687867410503	9.07355031224863
0.826840609155091	9.07311354392673
0.836802544205152	9.07267677560483
0.846764479255214	9.07224000728294
0.856726414305275	9.07180323896104
0.866688349355336	9.07136647063914
0.876650284405398	9.07092970231724
0.886612219455459	9.07049293399534
0.89657415450552	9.07005616567344
0.906536089555582	9.06961725954282
0.916498024605643	9.06916717400723
0.926459959655704	9.06870962000577
0.936421894705766	9.06825206600432
0.946383829755827	9.06779451200287
0.956345764805889	9.06733695800142
0.96630769985595	9.06687940399997
0.976269634906011	9.06642184999852
0.986231569956073	9.06596429599707
0.996193505006134	9.06550674199562
1.0061554400562	9.06504816374204
1.01611737510626	9.06457848339643
1.02607931015632	9.06409915455486
1.03604124520638	9.06361982571329
1.04600318025644	9.06314049687172
1.0559651153065	9.06266116803016
1.06592705035656	9.06218183918859
1.07588898540662	9.06170251034702
1.08585092045669	9.06122318150545
1.09581285550675	9.06074385266388
1.10577479055681	9.06026452380176
1.11573672560687	9.05977460314033
1.12569866065693	9.05927246322654
1.13566059570699	9.05877032331276
1.14562253075705	9.05826818339897
1.15558446580712	9.05776604348518
1.16554640085718	9.0572639035714
1.17550833590724	9.05676176365761
1.1854702709573	9.05625962374383
1.19543220600736	9.05575748383004
1.20539414105742	9.05525534391626
1.21535607610748	9.05474416523542
1.22531801115754	9.05421940770518
1.23527994620761	9.0536933711756
1.24524188125767	9.05316733464601
1.25520381630773	9.05264129811643
1.26516575135779	9.05211526158684
1.27512768640785	9.05158922505726
1.28508962145791	9.05106318852767
1.29505155650797	9.05053715199809
1.30501349155804	9.0500111154685
1.3149754266081	9.04947754536863
1.32493736165816	9.04892937443202
1.33489929670822	9.04837830408503
1.34486123175828	9.04782723373804
1.35482316680834	9.04727616339105
1.3647851018584	9.04672509304406
1.37474703690846	9.04617402269707
1.38470897195853	9.04562295235008
1.39467090700859	9.04507188200309
1.40463284205865	9.0445208116561
1.41459477710871	9.04396364655777
1.42455671215877	9.04339125233336
1.43451864720883	9.04281395685114
1.44448058225889	9.04223666136893
1.45444251730896	9.04165936588671
1.46440445235902	9.0410820704045
1.47436638740908	9.04050477492228
1.48432832245914	9.03992747944006
1.4942902575092	9.03935018395785
1.50425219255926	9.03877288847563
1.51421412760932	9.03819085000611
1.52417606265938	9.03759340950541
1.53413799770945	9.03698864087876
1.54409993275951	9.03638387225211
1.55406186780957	9.03577910362545
1.56402380285963	9.0351743349988
1.57398573790969	9.03456956637215
1.58394767295975	9.03396479774549
1.59390960800981	9.03336002911884
1.60387154305988	9.03275526049219
1.61383347810994	9.03214699057159
1.62379541316	9.03152366880671
1.63375734821006	9.03089011963732
1.64371928326012	9.03025657046792
1.65368121831018	9.02962302129852
1.66364315336024	9.02898947212913
1.6736050884103	9.02835592295973
