# PSR (1/year) over age (year) (exp.sim_5_kappa_0_c1)
# PSR of model 'exp.sim_5_kappa_0_c1'
#
# exp.sim_5_kappa_0_c1
age	PSR
0	0
0.00996193505006134	0.000931193379090184
0.0199238701001227	0.00186319008552452
0.029885805150184	0.00279597706068497
0.0398477402002454	0.00372954120011611
0.0498096752503067	0.00466386919653443
0.059771610300368	0.0055989497797578
0.0697335453504294	0.00653476774720635
0.0796954804004907	0.00747130982670061
0.089657415450552	0.00840856270439445
0.0996193505006134	0.009346513813653
0.109581285550675	0.0102851505576686
0.119543220600736	0.0112244733662445
0.129505155650797	0.012164469146818
0.139467090700859	0.0131051246462579
0.14942902575092	0.0140464265096906
0.159390960800981	0.0149883613459882
0.169352895851043	0.0159309157286272
0.179314830901104	0.016874076196555
0.189276765951165	0.0178178285893049
0.199238701001227	0.018762161486611
0.209200636051288	0.0197070585327235
0.219162571101349	0.0206525193987418
0.229124506151411	0.0215985357116378
0.239086441201472	0.0225450945061038
0.249048376251533	0.0234921823043019
0.259010311301595	0.0244397856001796
0.268972246351656	0.0253878899382311
0.278934181401717	0.0263364830075624
0.288896116451779	0.0272855507463629
0.29885805150184	0.0282350795726663
0.308819986551902	0.0291850517314798
0.318781921601963	0.0301354671752807
0.328743856652024	0.0310863212946303
0.338705791702086	0.0320376016985991
0.348667726752147	0.0329892948764706
0.358629661802208	0.0339413991334283
0.36859159685227	0.034893891816526
0.378553531902331	0.0358467554680382
0.388515466952392	0.0367999765171526
0.398477402002454	0.0377535418531669
0.408439337052515	0.0387074305853198
0.418401272102576	0.0396616417308191
0.428363207152638	0.0406161751529429
0.438325142202699	0.0415710196910651
0.44828707725276	0.0425261618892931
0.458249012302822	0.0434815882795868
0.468210947352883	0.0444372853826318
0.478172882402944	0.0453932397087288
0.488134817453006	0.0463494373540373
0.498096752503067	0.0473058654454614
0.508058687553128	0.048262502504883
0.51802062260319	0.0492193432071528
0.527982557653251	0.0501763923921379
0.537944492703312	0.0511336415723324
0.547906427753374	0.0520910774353794
0.557868362803435	0.0530486866644331
0.567830297853496	0.0540064582277917
0.577792232903558	0.0549643813293808
0.587754167953619	0.055922436662251
0.59771610300368	0.0568806111598
0.607678038053742	0.0578388825971065
0.617639973103803	0.0587972412047739
0.627601908153864	0.0597556970668141
0.637563843203926	0.0607142447402415
0.647525778253987	0.0616728711185759
0.657487713304048	0.0626315630982859
0.66744964835411	0.0635903075796032
0.677411583404171	0.0645490914674015
0.687373518454232	0.0655079016720157
0.697335453504294	0.0664667250633493
0.707297388554355	0.0674255405579181
0.717259323604416	0.0683843314169774
0.727221258654478	0.0693431116836238
0.737183193704539	0.0703018816094192
0.7471451287546	0.0712606284067121
0.757107063804662	0.0722193390553191
0.767068998854723	0.0731779994088689
0.777030933904784	0.0741365970553772
0.786992868954846	0.0750951192376189
0.796954804004907	0.076053553329233
0.806916739054968	0.0770118794676999
0.81687867410503	0.0779700739402761
0.826840609155091	0.0789281531943383
0.836802544205152	0.0798861246612598
0.846764479255214	0.0808439758942212
0.856726414305275	0.0818016944626033
0.866688349355336	0.0827592679527425
0.876650284405398	0.08371668396872
0.886612219455459	0.084673930133116
0.89657415450552	0.0856309940877912
0.906536089555582	0.086587857925102
0.916498024605643	0.0875444890198411
0.926459959655704	0.0885009064735187
0.936421894705766	0.089457121938056
0.946383829755827	0.0904131225263995
0.956345764805889	0.0913689005298977
0.96630769985595	0.0923244439688327
0.976269634906011	0.0932797408869333
0.986231569956073	0.0942347793520936
0.996193505006134	0.0951895472242658
1.0061554400562	0.0961440303325626
1.01611737510626	0.0970981899211001
1.02607931015632	0.0980520375780889
1.03604124520638	0.0990056043897098
1.04600318025644	0.099958878790956
1.0559651153065	0.100911849243903
1.06592705035656	0.101864504238389
1.07588898540662	0.102816832292697
1.08585092045669	0.103768821954223
1.09581285550675	0.104720461800142
1.10577479055681	0.105671740437995
1.11573672560687	0.106622609006074
1.12569866065693	0.107573072477029
1.13566059570699	0.108523171106334
1.14562253075705	0.109472902793831
1.15558446580712	0.110422256538339
1.16554640085718	0.111371221370758
1.17550833590724	0.112319786354694
1.1854702709573	0.113267940587104
1.19543220600736	0.114215673198883
1.20539414105742	0.115162973355464
1.21535607610748	0.116109798904109
1.22531801115754	0.117056140261908
1.23527994620761	0.118002053187381
1.24524188125767	0.118947534847802
1.25520381630773	0.119892574330442
1.26516575135779	0.12083716122869
1.27512768640785	0.12178128517214
1.28508962145791	0.122724935827141
1.29505155650797	0.123668102897377
1.30501349155804	0.12461077612438
1.3149754266081	0.125552913121197
1.32493736165816	0.126494497105442
1.33489929670822	0.127435582235763
1.34486123175828	0.128376167194284
1.35482316680834	0.129316254625788
1.3647851018584	0.130255834737247
1.37474703690846	0.131194897774485
1.38470897195853	0.132133433711732
1.39467090700859	0.133071434032398
1.40463284205865	0.13400888804779
1.41459477710871	0.134945760999924
1.42455671215877	0.135882017669368
1.43451864720883	0.136817720631507
1.44448058225889	0.137752890579093
1.45444251730896	0.138687518313904
1.46440445235902	0.139621594662735
1.47436638740908	0.140555110493147
1.48432832245914	0.14148805671393
1.4942902575092	0.142420424275529
1.50425219255926	0.143352204170483
1.51421412760932	0.144283365132937
1.52417606265938	0.145213860984266
1.53413799770945	0.146143750423934
1.54409993275951	0.147073071425396
1.55406186780957	0.148001815960362
1.56402380285963	0.148929975491523
1.57398573790969	0.149857541523452
1.58394767295975	0.150784505603021
1.59390960800981	0.151710859319734
1.60387154305988	0.152636578702945
1.61383347810994	0.153561649473464
1.62379541316	0.154486020323343
