# psi (1/year) over age (year) (exp.sim_5_kappa_0_c1)
# psi of model 'exp.sim_5_kappa_0_c1'
#
# exp.sim_5_kappa_0_c1
age	psi
0	0.0102016987056836
0.00996193505006134	0.0102051897804255
0.0199238701001227	0.0102086808551674
0.029885805150184	0.0102121719299093
0.0398477402002454	0.0102156630046512
0.0498096752503067	0.0102191540793932
0.059771610300368	0.0102226451541351
0.0697335453504294	0.010226136228877
0.0796954804004907	0.0102296273036189
0.089657415450552	0.0102331183783609
0.0996193505006134	0.0102366094531028
0.109581285550675	0.0102402508319652
0.119543220600736	0.0102439147862909
0.129505155650797	0.0102475795789574
0.139467090700859	0.0102512443716238
0.14942902575092	0.0102549091642903
0.159390960800981	0.0102585739569568
0.169352895851043	0.0102622387496233
0.179314830901104	0.0102659035422898
0.189276765951165	0.0102695683349563
0.199238701001227	0.0102732331276228
0.209200636051288	0.0102770327248459
0.219162571101349	0.0102808765195247
0.229124506151411	0.0102847236744214
0.239086441201472	0.0102885708293182
0.249048376251533	0.0102924179842149
0.259010311301595	0.0102962651391117
0.268972246351656	0.0103001122940085
0.278934181401717	0.0103039594489052
0.288896116451779	0.010307806603802
0.29885805150184	0.0103116537586987
0.308819986551902	0.0103156199836091
0.318781921601963	0.010319650764462
0.328743856652024	0.0103236893560405
0.338705791702086	0.0103277279476189
0.348667726752147	0.0103317665391974
0.358629661802208	0.0103358051307758
0.36859159685227	0.0103398437223543
0.378553531902331	0.0103438823139328
0.388515466952392	0.0103479209055112
0.398477402002454	0.0103519594970897
0.408439337052515	0.0103561012877369
0.418401272102576	0.0103603263828559
0.428363207152638	0.0103645659371175
0.438325142202699	0.0103688054913791
0.44828707725276	0.0103730450456407
0.458249012302822	0.0103772845999023
0.468210947352883	0.0103815241541639
0.478172882402944	0.0103857637084255
0.488134817453006	0.0103900032626871
0.498096752503067	0.0103942428169487
0.508058687553128	0.0103985696760614
0.51802062260319	0.010402996592096
0.527982557653251	0.0104074471090616
0.537944492703312	0.0104118976260272
0.547906427753374	0.0104163481429928
0.557868362803435	0.0104207986599584
0.567830297853496	0.010425249176924
0.577792232903558	0.0104296996938896
0.587754167953619	0.0104341502108552
0.59771610300368	0.0104386007278208
0.607678038053742	0.0104431227612387
0.617639973103803	0.0104477591786548
0.627601908153864	0.0104524311559522
0.637563843203926	0.0104571031332495
0.647525778253987	0.0104617751105468
0.657487713304048	0.0104664470878442
0.66744964835411	0.0104711190651415
0.677411583404171	0.0104757910424389
0.687373518454232	0.0104804630197362
0.697335453504294	0.0104851349970336
0.707297388554355	0.0104898629547835
0.717259323604416	0.0104947167219909
0.727221258654478	0.0104996211796159
0.737183193704539	0.0105045256372408
0.7471451287546	0.0105094300948658
0.757107063804662	0.0105143345524907
0.767068998854723	0.0105192390101157
0.777030933904784	0.0105241434677406
0.786992868954846	0.0105290479253656
0.796954804004907	0.0105339523829905
0.806916739054968	0.0105388977031846
0.81687867410503	0.0105439768294221
0.826840609155091	0.010549125335732
0.836802544205152	0.0105542738420419
0.846764479255214	0.0105594223483518
0.856726414305275	0.0105645708546617
0.866688349355336	0.0105697193609715
0.876650284405398	0.0105748678672814
0.886612219455459	0.0105800163735913
0.89657415450552	0.0105851648799012
0.906536089555582	0.0105903397356487
0.916498024605643	0.0105956523825053
0.926459959655704	0.0106010570815057
0.936421894705766	0.010606461780506
0.946383829755827	0.0106118664795064
0.956345764805889	0.0106172711785067
0.96630769985595	0.010622675877507
0.976269634906011	0.0106280805765074
0.986231569956073	0.0106334852755077
0.996193505006134	0.0106388899745081
1.0061554400562	0.0106443073240436
1.01611737510626	0.0106498617954864
1.02607931015632	0.0106555354354756
1.03604124520638	0.0106612090754648
1.04600318025644	0.010666882715454
1.0559651153065	0.0106725563554432
1.06592705035656	0.0106782299954324
1.07588898540662	0.0106839036354216
1.08585092045669	0.0106895772754108
1.09581285550675	0.0106952509154
1.10577479055681	0.0107009245556436
1.11573672560687	0.0107067292864126
1.12569866065693	0.0107126852500518
1.13566059570699	0.010718641213691
1.14562253075705	0.0107245971773302
1.15558446580712	0.0107305531409695
1.16554640085718	0.0107365091046087
1.17550833590724	0.0107424650682479
1.1854702709573	0.0107484210318871
1.19543220600736	0.0107543769955264
1.20539414105742	0.0107603329591656
1.21535607610748	0.0107664010240188
1.22531801115754	0.0107726374974052
1.23527994620761	0.0107788898332847
1.24524188125767	0.0107851421691642
1.25520381630773	0.0107913945050436
1.26516575135779	0.0107976468409231
1.27512768640785	0.0108038991768026
1.28508962145791	0.0108101515126821
1.29505155650797	0.0108164038485616
1.30501349155804	0.0108226561844411
1.3149754266081	0.010829002147416
1.32493736165816	0.0108355295693646
1.33489929670822	0.0108420930251406
1.34486123175828	0.0108486564809167
1.35482316680834	0.0108552199366928
1.3647851018584	0.0108617833924689
1.37474703690846	0.0108683468482449
1.38470897195853	0.010874910304021
1.39467090700859	0.0108814737597971
1.40463284205865	0.0108880372155732
1.41459477710871	0.0108946765738884
1.42455671215877	0.0109015055920062
1.43451864720883	0.0109083956491872
1.44448058225889	0.0109152857063682
1.45444251730896	0.0109221757635492
1.46440445235902	0.0109290658207302
1.47436638740908	0.0109359558779112
1.48432832245914	0.0109428459350922
1.4942902575092	0.0109497359922732
1.50425219255926	0.0109566260494542
1.51421412760932	0.0109635752971209
1.52417606265938	0.0109707167556558
1.53413799770945	0.010977949666119
1.54409993275951	0.0109851825765822
1.55406186780957	0.0109924154870453
1.56402380285963	0.0109996483975085
1.57398573790969	0.0110068813079717
1.58394767295975	0.0110141142184349
